,0,1,2,3,4,5,6,7,8,9
0,827,1,17,24,4,1,116,0,10,0
1,3,960,1,26,4,0,5,0,1,0
2,14,1,807,12,122,0,43,0,1,0
3,27,9,14,887,32,1,26,0,4,0
4,1,0,91,31,844,0,32,0,1,0
5,1,0,0,1,0,927,0,33,3,35
6,117,1,110,30,107,0,620,0,15,0
7,0,0,0,0,0,13,0,958,1,28
8,3,0,4,5,3,1,11,4,969,0
9,0,0,0,0,0,3,0,36,1,960
