,0,1,2,3,4,5,6,7,8,9
0,892,1,11,18,2,0,66,0,10,0
1,4,985,1,6,0,0,2,0,2,0
2,19,1,868,10,42,1,56,0,3,0
3,16,10,13,916,19,0,22,0,3,1
4,1,0,70,25,851,1,52,0,0,0
5,0,0,0,0,0,987,0,8,1,4
6,127,7,62,23,55,1,716,0,9,0
7,0,0,0,0,0,9,0,975,0,16
8,1,2,2,1,2,4,3,3,980,2
9,0,1,0,0,0,4,1,23,0,971
