,0,1,2,3,4,5,6,7,8,9
0,878,1,14,32,3,4,60,0,8,0
1,2,970,1,22,2,0,1,0,2,0
2,15,3,816,13,91,0,56,0,6,0
3,32,10,8,899,28,1,19,0,3,0
4,3,1,97,29,820,0,49,0,1,0
5,1,0,0,1,0,968,0,22,0,8
6,183,3,111,34,78,0,577,0,14,0
7,0,0,0,0,0,23,0,956,0,21
8,6,0,7,5,4,5,3,4,966,0
9,0,0,0,0,0,14,1,42,0,943
