label,precision,recall,f1
T-Shirt,0.8338338338338338,0.833,0.8334167083541771
Trouser,0.9897540983606558,0.966,0.9777327935222672
Pullover,0.8174778761061947,0.739,0.7762605042016807
Dress,0.8585178055822906,0.892,0.8749386954389407
Coat,0.7743490838958534,0.803,0.7884143348060874
Sandal,0.9822732012513035,0.942,0.9617151607963247
Shirt,0.6801181102362205,0.691,0.685515873015873
Sneaker,0.9177693761814745,0.971,0.9436345966958212
Bag,0.9458413926499033,0.978,0.9616519174041298
Ankle Boot,0.9631901840490797,0.942,0.9524772497472194
