,0,1,2,3,4,5,6,7,8,9
0,782,3,14,30,5,5,144,2,14,1
1,3,959,4,20,6,0,6,0,2,0
2,18,2,676,5,165,1,115,1,17,0
3,32,4,9,861,34,0,45,2,12,1
4,1,2,81,36,800,0,74,1,5,0
5,2,0,5,6,0,915,0,43,9,20
6,133,7,75,26,94,2,623,2,38,0
7,0,0,1,0,0,15,0,958,2,24
8,13,0,3,17,3,10,16,10,926,2
9,3,0,1,3,4,8,0,57,11,913
