,0,1,2,3,4,5,6,7,8,9
0,973,1,0,1,0,0,2,1,2,0
1,1,1124,2,1,0,1,2,1,3,0
2,6,0,1007,3,1,0,4,6,5,0
3,1,0,3,995,0,3,0,3,1,4
4,4,0,1,0,964,0,5,2,2,4
5,3,0,0,6,2,868,9,0,2,2
6,4,2,0,1,2,2,944,0,3,0
7,1,4,6,0,0,0,0,1011,2,4
8,7,1,0,4,0,3,5,2,952,0
9,4,2,0,1,11,2,1,6,9,973
